nome,mapcategory,servizio,attore,indirizzo,latitudine,longitudine,referente,contatti,accesso,costi,accesso_temporale,lunedi,martedi,mercoledi,giovedi,venerdi,sabato,domenica,periodo_apertura,mesi_apertura,occasioni_apertura,descrizione,destinatari,altri,disabili,parcheggi100m_riservati,parcheggi100m_gratuiti,parcheggi100m_pagamento,parcheggi100m_disabili,data_aggiornamento,note,url,foto
Bar In Centro,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,Piazza Manci 9,46.066165,11.154621,Travaglia Loris 349 8537577,-,Accesso libero,Misto,Aperto in determinati giorni/orari,"Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera",Mattina,Sempre aperto,-,-,"Bar ideale per colazioni e aperitivi, aperto tutti i giorni dalle 7.00 alle 22.00; la domenica dalle 7.00 alle 13.00. Offre caffè e affini, bibite e tramezzini (no pasti) - posti a sedere all'interno del locale, sul terrazzo e nell'area antistante l'ingresso.",Tutte la età,Tutti,"Si, in autonomia",-,Si,-,Si,25/8/2025,Molto frequentato,-,https://i.postimg.cc/1zXqLXy2/Screenshot-From-2026-07-06-00-30-42.png
Bar Al Canton,Ristorazione e agriturismi,Ristorazione e agriturismi,privato,Piazza Manci 21,46.066169,11.155345,Daniela Tonezzer - cell. 3395717713,-,Accesso libero,Misto,Aperto in determinati giorni/orari,"Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera",-,Sempre aperto,-,-,"Bar ideale per colazioni e aperitivi (no pasti), aperto dal lunedì al sabato con orario 7.00-20.30. Posti a sedere all'interno e su plateatico esterno.",Tutte la età,Tutti,"Si, in autonomia",-,Si,-,Si,25/8/2025,Molto frequentato,-,-
Pane e non solo,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,"Via Don Dallafior, 2",46.065700,11.154277,Cristina Merz  3487896070,-,Accesso libero,A pagamento,Aperto in determinati giorni/orari,"Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio","Mattina, Pomeriggio",Mattina,Mattina,Sempre aperto,-,-,Si pagano gli acquisti/consumazioni,Tutte la età,Tutti,"Si, in autonomia",No,Si,-,-,26/8/2025,abbastanza frequentata. Fa anche servizi per eventi.,https://www.facebook.com/p/Pane-e-non-solo-100064010741129/,https://i.postimg.cc/Kz9smRTv/480857872-1060391449437870-1111391171880645464-n.jpg
Gelateria Dolomeis,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,Piazza Manci,46.066010,11.154355,Degasperi Francesco 3335625279,-,Accesso libero,A pagamento,Aperto in determinati giorni/orari,-,"Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera","Mattina, Pomeriggio, Sera",Solo in alcuni periodi dell'anno,"Marzo, Aprile, Maggio, Giugno, Luglio, Agosto, Settembre, Ottobre",-,"Chiosco che produce gelato artigianale, torte-gelato e affini, offrendo anche un servizio a domicilio con la cargo bike. Simpatica la proposta di coppe speciali che riprendono il nome dei principali promontori attorno a Povo: Sant'Agata, Cimirlo, Marzola, Celva e Chegul.",Tutte la età,Tutti,"Si, in autonomia",-,Si,-,-,26/8/2025,Abbastanza frequentata,https://www.gelateriadolomeis.it/,https://i.postimg.cc/6q2zwzwP/488650287-1104337411710481-2943249556142547723-n.jpg
Pizzeria Orostube,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,"Via Sommarive, 10",46.064754,11.150456,Gianni Giovannini  0461-816073,-,Accesso libero,A pagamento,Aperto in determinati giorni/orari,"Mattina, Sera","Mattina, Sera","Mattina, Sera","Mattina, Sera","Mattina, Sera","Mattina, Sera",-,Sempre aperto,-,-,-,Tutte la età,Tutti,"Si, in autonomia",Si,Si,-,-,26/8/2025,molto frequentato. Non accessibile ai cani.,https://orostube.it/,https://orostube.it/public/uploads/images/restaurants/2015-12-13-10-54-06-IMG_8112.jpg
Pizza Rio,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,Via della Resistenza 9/A,46.064749,11.150447,Reale Leonardo  tel.0461811555 cell. 3457641322,-,Accesso libero,A pagamento,Aperto in determinati giorni/orari,"Mattina, Sera","Mattina, Sera","Mattina, Sera","Mattina, Sera","Mattina, Sera",Sera,Sera,Sempre aperto,-,-,Offre soprattutto pizze da asporto con qualche tavolo per la consumazione sul posto non servita.,Tutte la età,-,"Si, in autonomia",-,Si,-,-,27/8/2025,molto frequentata soprattutto dagli studenti per il pranzo.,https://pizzariopovo.it/,https://pizzariopovo.it/__l5e/assets-v1/6028d2da-a6f2-499c-9441-166ef54e735c/pizzario-logo.png
Agritur Verderame,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,"Via della Selva, 49 38123 – Oltrecastello (TN)",46.077819,11.169766,LUCA LANER +39 3485114105,"info@agriturverderame.it
www.agriturverderame.it",Con prenotazione,A pagamento,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"Il silenzio della natura e il foliage dei vigneti, il profilo delle montagne e il colore del cielo, tra benessere, sport e relax.
Tanti elementi s’incontrano all’Agritur Verderame per regalarti
la vacanza perfetta, nella natura ad un passo dalla città. Scoprici!",Tutte la età,"Turisti / Visitatori, Sportivi / Escursionisti, Famiglie, Lavoratori / Pendolari, Associazioni / Gruppi organizzati","Si, previa assistenza",Si,Si,-,-,27/8/2025,Struttura nuova,https://www.agriturverderame.it/,https://lirp.cdn-website.com/a1e16fe5/dms3rep/multi/opt/hero_section-32cbf134-1920w.png
Agritur 8 Grappoli,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,"Via Graffiano, 14/E – TN",46.062164,11.148583,Giorgia Lorenz  3474331891,"+39 392 530 6450
www.8grappoliagritur.com
info@8grappoliagritur.com
facebook.com/8grappoli/
instagram.com/8grappoli_agritur/",Con prenotazione,A pagamento,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"Un sogno e un progetto che portavamo avanti da qualche anno. Il nostro scopo era quello di creare un punto d’incontro tra noi, la nostra azienda, i nostri prodotti e il consumatore finale. Ci piace pensare che attraverso l’agritur possiamo mostrare quello che facciamo e soprattutto come lo facciamo.",Tutte la età,"Turisti / Visitatori, Lavoratori / Pendolari","Si, in autonomia",Si,Si,-,-,27/8/2025,Nel 2019 siamo riusciti a realizzare l’Agritur 8 Grappoli,https://www.8grappoliagritur.com/,https://www.8grappoliagritur.com/wp-content/uploads/2025/10/home-autunno.jpg
Agritur La Tenuta,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,"via VIA della Selva, 27A - 38123 - Trento (TN) - ITALIA",46.076234,11.164094,GRISENTI GIUSEPPE  +39 329 878 2648,"www.agriturlatenuta.it
reception@agriturlatenuta.it
Facebook
 Instagram
 Airbnb
 Youtube",Con prenotazione,A pagamento,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"Il nostro complesso, situato a pochi minuti dal centro storico di Trento, è una residenza esclusiva ed elegante, dove si fondono in modo armonioso elementi naturali e urbani.
Perfetta per soggiorni brevi e disponibile anche per affitti medio-lunghi, offre ambienti spaziosi, luminosi e accoglienti, dal design raffinato e il massimo comfort.",Tutte la età,"Turisti / Visitatori, Studenti, Lavoratori / Pendolari","Si, in autonomia",Si,Si,-,-,27/8/2025,"La posizione strategica rende questi alloggi la scelta ideale sia per un piacevole viaggio alla scoperta della gran varietà di punti d’interesse che circondano la zona, sia per dedicarsi alle diverse attività ricreative presenti nei dintorni.",https://www.agriturlatenuta.it/,https://i.postimg.cc/wj7Nr3xY/unnamed.jpg
Agritur Ponte Alto,Ristorazione e agriturismi,Ristorazione e agriturismi,Privato,Località Ponte Alto Via alla Cascata 27 – Loc.Povo,46.072626,11.153105,FURLANI,"+39 0461 810753
+39 3471474234
+39 3495811591",Con prenotazione,A pagamento,Sempre aperto,-,-,-,-,-,-,-,Sempre aperto,-,-,"Per chi desidera un luogo immerso nel verde tra vigneti e un panorama mozzafiato, a un passo da Trento, l’Agriturismo Ponte Alto è la meta ideale.",Tutte la età,"Turisti / Visitatori, Sportivi / Escursionisti, Famiglie, Lavoratori / Pendolari","Si, in autonomia",Si,Si,-,-,27/8/2025,"Siamo lieti di accogliervi per un soggiorno all’insegna dell’ospitalità, tra cucina del territorio, spumanti e cosmetici naturali di nostra produzione, e suggerimenti per visitare questo splendido angolo di Trentino.",https://www.agriturpontealto.it/,https://www.agriturpontealto.it/wp-content/uploads/2021/11/agritur-dallalto-2mm--scaled.jpg
